"Diet","BATCH","Essi_number","Bloomington_number","DGRP_number","n_pup","n_eclo","n_total"
"HS",5,55,25179,"DGRP-307",12,9,30
"HS",5,56,28166,"DGRP-309",23,17,30
"HS",21,57,28276,"DGRP-310",6,2,30
"HS",5,58,25180,"DGRP-313",22,12,30
"HS",4,60,28167,"DGRP-317",20,18,30
"HS",4,61,28168,"DGRP-318",23,7,30
"HS",4,62,55018,"DGRP-319",26,20,30
"HS",4,63,29654,"DGRP-320",28,26,30
"HS",4,64,29655,"DGRP-321",12,10,30
"HS",4,65,25182,"DGRP-324",29,27,30
"HS",11,66,28171,"DGRP-332",23,21,30
"HS",22,67,25183,"DGRP-335",26,26,30
"HS",4,68,28172,"DGRP-336",10,7,30
"HS",4,69,28173,"DGRP-338",20,14,30
"HS",4,70,28174,"DGRP-340",27,26,30
"HS",10,71,55019,"DGRP-348",15,13,30
"HS",10,72,28176,"DGRP-350",25,21,30
"HS",10,73,28177,"DGRP-352",28,22,30
"HS",10,74,55020,"DGRP-354",11,9,30
"HS",13,75,55038,"DGRP-355",23,20,30
"HS",20,76,28178,"DGRP-356",26,20,30
"HS",14,77,25184,"DGRP-357",27,26,30
"HS",12,78,25185,"DGRP-358",24,14,30
"HS",13,79,28179,"DGRP-359",27,21,30
"HS",12,80,25186,"DGRP-360",28,24,30
"HS",13,81,28180,"DGRP-361",23,6,30
"HS",9,82,25187,"DGRP-362",20,19,30
"HS",7,83,25445,"DGRP-365",23,10,30
"HS",19,84,28181,"DGRP-367",24,13,30
"HS",11,85,28182,"DGRP-370",26,26,30
"HS",16,86,28183,"DGRP-371",30,27,30
"HS",13,87,28184,"DGRP-373",15,3,30
"HS",12,88,28185,"DGRP-374",18,16,30
"HS",7,89,25188,"DGRP-375",22,18,30
"HS",11,90,28186,"DGRP-377",21,13,30
"HS",9,91,25189,"DGRP-379",23,11,30
"HS",14,92,25190,"DGRP-380",27,27,30
"HS",14,93,28188,"DGRP-381",11,6,30
"HS",7,94,28189,"DGRP-382",26,25,30
"HS",20,95,28190,"DGRP-383",5,2,30
"HS",14,96,28191,"DGRP-385",30,29,30
"HS",14,97,28192,"DGRP-386",28,25,30
"HS",7,98,55021,"DGRP-390",22,16,30
"HS",15,99,25191,"DGRP-391",24,22,30
"HS",14,100,28194,"DGRP-392",25,25,30
"HS",7,101,55022,"DGRP-395",29,28,30
"HS",9,102,55023,"DGRP-397",25,8,30
"HS",7,103,25192,"DGRP-399",28,25,30
"HS",14,104,29656,"DGRP-405",21,20,30
"HS",15,105,29657,"DGRP-406",29,28,30
"HS",16,106,28278,"DGRP-409",22,21,30
"HS",6,107,28196,"DGRP-426",20,20,30
"HS",6,108,25193,"DGRP-427",26,24,30
"HS",6,109,25194,"DGRP-437",30,30,30
"HS",16,110,29658,"DGRP-439",28,13,30
"HS",16,111,28197,"DGRP-440",27,22,30
"HS",6,112,28198,"DGRP-441",9,6,30
"HS",15,113,28199,"DGRP-443",26,26,30
"HS",16,114,28200,"DGRP-461",26,15,30
"HS",21,115,25195,"DGRP-486",29,18,30
"HS",6,116,28202,"DGRP-491",20,18,30
"HS",9,117,28203,"DGRP-492",27,21,30
"HS",15,118,28204,"DGRP-502",24,22,30
"HS",20,119,55024,"DGRP-505",20,8,30
"HS",16,120,28205,"DGRP-508",29,22,30
"HS",6,121,28206,"DGRP-509",26,20,30
"HS",6,122,29659,"DGRP-513",20,14,30
"HS",6,123,25197,"DGRP-517",29,29,30
"HS",12,124,55025,"DGRP-528",18,11,30
"HS",6,125,29660,"DGRP-530",28,22,30
"HS",21,126,28207,"DGRP-531",29,19,30
"HS",6,127,28208,"DGRP-535",26,24,30
"HS",7,128,55026,"DGRP-551",16,15,30
"HS",7,129,25198,"DGRP-555",17,12,30
"HS",12,130,55027,"DGRP-559",21,18,30
"HS",7,131,28211,"DGRP-563",18,18,30
"HS",20,132,55028,"DGRP-566",25,23,30
"HS",15,133,28212,"DGRP-584",29,23,30
"HS",15,134,28213,"DGRP-589",27,24,30
"HS",16,135,28215,"DGRP-595",26,25,30
"HS",17,136,55029,"DGRP-596",16,12,30
"HS",7,137,55030,"DGRP-627",30,24,30
"HS",15,138,55031,"DGRP-630",30,25,30
"HS",15,139,55032,"DGRP-634",25,19,30
"HS",21,140,25199,"DGRP-639",10,1,30
"HS",22,141,28217,"DGRP-646",10,4,30
"HS",17,142,28218,"DGRP-703",30,27,30
"HS",17,143,25744,"DGRP-705",23,13,30
"HS",17,144,25200,"DGRP-707",29,24,30
"HS",19,145,25201,"DGRP-712",27,22,30
"HS",12,146,25745,"DGRP-714",25,20,30
"HS",11,147,28219,"DGRP-716",27,14,30
"HS",18,148,28220,"DGRP-721",29,28,30
"HS",21,149,28221,"DGRP-727",23,22,30
"HS",9,151,25203,"DGRP-732",27,21,30
"HS",17,152,28222,"DGRP-737",28,24,30
"HS",22,153,28223,"DGRP-738",23,17,30
"HS",17,154,28224,"DGRP-748",28,25,30
"HS",19,155,28226,"DGRP-757",22,21,30
"HS",20,156,28227,"DGRP-761",19,17,30
"HS",17,157,25204,"DGRP-765",18,11,30
"HS",11,158,25205,"DGRP-774",29,25,30
"HS",11,159,28229,"DGRP-776",23,22,30
"HS",12,160,28230,"DGRP-783",27,19,30
"HS",12,161,25206,"DGRP-786",26,21,30
"HS",11,162,28231,"DGRP-787",30,26,30
"HS",19,163,28232,"DGRP-790",26,18,30
"HS",17,164,28233,"DGRP-796",22,20,30
"HS",13,165,25207,"DGRP-799",29,29,30
"HS",11,166,28234,"DGRP-801",27,17,30
"HS",12,167,28235,"DGRP-802",26,24,30
"HS",15,168,28236,"DGRP-804",7,2,30
"HS",22,169,28237,"DGRP-805",21,18,30
"HS",17,170,28238,"DGRP-808",28,21,30
"HS",17,171,28239,"DGRP-810",21,7,30
"HS",15,172,28240,"DGRP-812",13,2,30
"HS",17,173,28241,"DGRP-818",28,24,30
"HS",13,174,28242,"DGRP-819",29,26,30
"HS",11,175,25208,"DGRP-820",29,26,30
"HS",8,176,28243,"DGRP-821",25,20,30
"HS",19,177,28244,"DGRP-822",12,11,30
"HS",21,178,28245,"DGRP-832",15,14,30
"HS",8,180,28247,"DGRP-843",25,25,30
"HS",18,181,28248,"DGRP-849",11,10,30
"HS",19,182,28249,"DGRP-850",26,24,30
"HS",8,183,25209,"DGRP-852",26,24,30
"HS",18,184,28250,"DGRP-853",27,11,30
"HS",18,185,28251,"DGRP-855",22,19,30
"HS",19,186,28252,"DGRP-857",11,3,30
"HS",8,187,25210,"DGRP-859",30,30,30
"HS",18,188,28253,"DGRP-861",12,10,30
"HS",19,189,28254,"DGRP-879",26,18,30
"HS",18,190,28255,"DGRP-882",11,2,30
"HS",19,192,28279,"DGRP-887",0,0,30
"HS",8,193,28257,"DGRP-890",27,23,30
"HS",8,194,28258,"DGRP-892",25,23,30
"HS",8,196,28260,"DGRP-897",15,14,30
"HS",8,197,28261,"DGRP-900",25,17,30
"HS",8,198,28262,"DGRP-907",28,27,30
"HS",8,199,28263,"DGRP-908",26,25,30
"HS",18,200,28264,"DGRP-911",24,21,30
"HS",18,201,28265,"DGRP-913",23,19,30
"coco",2,1,28122,"DGRP-21",28,16,30
"coco",2,2,28123,"DGRP-26",17,7,30
"coco",21,3,28124,"DGRP-28",16,6,30
"coco",2,4,55014,"DGRP-31",24,16,30
"coco",2,5,55015,"DGRP-32",26,13,30
"coco",2,6,28125,"DGRP-38",12,11,30
"coco",2,7,29651,"DGRP-40",14,12,30
"coco",2,8,28126,"DGRP-41",17,7,30
"coco",21,9,28127,"DGRP-42",2,0,30
"coco",9,10,28128,"DGRP-45",22,3,30
"coco",1,11,55016,"DGRP-48",14,5,30
"coco",1,12,29652,"DGRP-57",28,10,30
"coco",2,13,28129,"DGRP-59",22,17,30
"coco",19,14,28130,"DGRP-69",11,4,30
"coco",9,15,28131,"DGRP-73",21,8,30
"coco",20,16,28132,"DGRP-75",21,9,30
"coco",1,17,28134,"DGRP-83",27,13,30
"coco",9,18,28274,"DGRP-85",12,8,30
"coco",14,19,28135,"DGRP-88",8,3,30
"coco",1,20,28136,"DGRP-91",11,4,30
"coco",5,21,28137,"DGRP-93",15,9,30
"coco",1,22,55017,"DGRP-100",15,5,30
"coco",1,23,28138,"DGRP-101",8,3,30
"coco",9,24,28139,"DGRP-105",26,21,30
"coco",2,25,28140,"DGRP-109",18,16,30
"coco",1,26,28141,"DGRP-129",9,5,30
"coco",1,27,28142,"DGRP-136",11,10,30
"coco",10,28,28143,"DGRP-138",25,20,30
"coco",1,29,28144,"DGRP-142",23,19,30
"coco",3,30,28145,"DGRP-149",18,13,30
"coco",3,31,28146,"DGRP-153",25,12,30
"coco",20,32,28147,"DGRP-158",25,22,30
"coco",9,33,28148,"DGRP-161",8,1,30
"coco",3,34,28149,"DGRP-176",20,10,30
"coco",14,35,28150,"DGRP-177",20,7,30
"coco",3,36,28151,"DGRP-181",27,2,30
"coco",3,37,28152,"DGRP-189",26,23,30
"coco",3,38,28153,"DGRP-195",23,16,30
"coco",3,39,25174,"DGRP-208",28,21,30
"coco",3,40,28154,"DGRP-217",24,13,30
"coco",10,41,28155,"DGRP-223",23,17,30
"coco",20,42,28156,"DGRP-227",24,4,30
"coco",20,43,28157,"DGRP-228",25,20,30
"coco",5,44,29653,"DGRP-229",25,7,30
"coco",10,45,28275,"DGRP-235",30,30,30
"coco",5,46,28160,"DGRP-237",15,11,30
"coco",2,47,28161,"DGRP-239",22,9,30
"coco",14,48,28162,"DGRP-256",21,10,30
"coco",11,49,28164,"DGRP-280",26,14,30
"coco",20,50,28165,"DGRP-287",13,8,30
"coco",10,51,25175,"DGRP-301",9,6,30
"coco",10,52,25176,"DGRP-303",17,9,30
"coco",16,53,25177,"DGRP-304",24,16,30
"coco",5,54,37525,"DGRP-306",28,26,30
"coco",5,55,25179,"DGRP-307",23,4,30
"coco",5,56,28166,"DGRP-309",14,14,30
"coco",21,57,28276,"DGRP-310",16,2,30
"coco",5,58,25180,"DGRP-313",0,0,30
"coco",4,60,28167,"DGRP-317",22,17,30
"coco",4,61,28168,"DGRP-318",23,7,30
"coco",4,62,55018,"DGRP-319",22,20,30
"coco",4,63,29654,"DGRP-320",19,11,30
"coco",4,64,29655,"DGRP-321",13,12,30
"coco",4,65,25182,"DGRP-324",22,9,30
"coco",11,66,28171,"DGRP-332",26,13,30
"coco",22,67,25183,"DGRP-335",24,20,30
"coco",4,68,28172,"DGRP-336",10,0,30
"coco",4,69,28173,"DGRP-338",25,4,30
"coco",4,70,28174,"DGRP-340",28,23,30
"coco",10,71,55019,"DGRP-348",11,8,30
"coco",10,72,28176,"DGRP-350",22,17,30
"coco",10,73,28177,"DGRP-352",20,12,30
"coco",10,74,55020,"DGRP-354",22,16,30
"coco",13,75,55038,"DGRP-355",19,10,30
"coco",20,76,28178,"DGRP-356",20,7,30
"coco",14,77,25184,"DGRP-357",24,23,30
"coco",12,78,25185,"DGRP-358",21,9,30
"coco",13,79,28179,"DGRP-359",24,13,30
"coco",12,80,25186,"DGRP-360",18,8,30
"coco",13,81,28180,"DGRP-361",24,16,30
"coco",9,82,25187,"DGRP-362",14,11,30
"coco",7,83,25445,"DGRP-365",24,2,30
"coco",19,84,28181,"DGRP-367",21,5,30
"coco",11,85,28182,"DGRP-370",25,15,30
"coco",16,86,28183,"DGRP-371",17,7,30
"coco",13,87,28184,"DGRP-373",16,9,30
"coco",12,88,28185,"DGRP-374",21,17,30
"coco",7,89,25188,"DGRP-375",23,15,30
"coco",11,90,28186,"DGRP-377",21,15,30
"coco",9,91,25189,"DGRP-379",13,5,30
"coco",14,92,25190,"DGRP-380",30,30,30
"coco",14,93,28188,"DGRP-381",17,7,30
"coco",7,94,28189,"DGRP-382",24,18,30
"coco",20,95,28190,"DGRP-383",16,9,30
"coco",14,96,28191,"DGRP-385",28,12,30
"coco",14,97,28192,"DGRP-386",25,22,30
"coco",7,98,55021,"DGRP-390",20,11,30
"coco",15,99,25191,"DGRP-391",15,4,30
"coco",14,100,28194,"DGRP-392",23,12,30
"coco",7,101,55022,"DGRP-395",28,15,30
"coco",9,102,55023,"DGRP-397",23,10,30
"coco",7,103,25192,"DGRP-399",28,25,30
"coco",14,104,29656,"DGRP-405",24,15,30
"coco",15,105,29657,"DGRP-406",29,10,30
"coco",16,106,28278,"DGRP-409",20,11,30
"coco",6,107,28196,"DGRP-426",5,5,30
"coco",6,108,25193,"DGRP-427",28,25,30
"coco",6,109,25194,"DGRP-437",24,22,30
"coco",16,110,29658,"DGRP-439",17,11,30
"coco",16,111,28197,"DGRP-440",26,14,30
"coco",6,112,28198,"DGRP-441",7,6,30
"coco",15,113,28199,"DGRP-443",20,14,30
"coco",16,114,28200,"DGRP-461",23,15,30
"coco",21,115,25195,"DGRP-486",22,16,30
"coco",6,116,28202,"DGRP-491",18,18,30
"coco",9,117,28203,"DGRP-492",28,21,30
"coco",15,118,28204,"DGRP-502",20,16,30
"coco",20,119,55024,"DGRP-505",22,11,30
"coco",16,120,28205,"DGRP-508",24,10,30
"coco",6,121,28206,"DGRP-509",23,0,30
"coco",6,122,29659,"DGRP-513",23,7,30
"coco",6,123,25197,"DGRP-517",24,10,30
"coco",12,124,55025,"DGRP-528",20,5,30
"coco",6,125,29660,"DGRP-530",25,10,30
"coco",21,126,28207,"DGRP-531",27,17,30
"coco",6,127,28208,"DGRP-535",20,10,30
"coco",7,128,55026,"DGRP-551",28,21,30
"coco",7,129,25198,"DGRP-555",19,10,30
"coco",12,130,55027,"DGRP-559",16,14,30
"coco",7,131,28211,"DGRP-563",18,17,30
"coco",20,132,55028,"DGRP-566",21,17,30
"coco",15,133,28212,"DGRP-584",30,20,30
"coco",15,134,28213,"DGRP-589",17,9,30
"coco",16,135,28215,"DGRP-595",23,18,30
"coco",17,136,55029,"DGRP-596",16,8,30
"coco",7,137,55030,"DGRP-627",17,3,30
"coco",15,138,55031,"DGRP-630",26,14,30
"coco",15,139,55032,"DGRP-634",25,9,30
"coco",21,140,25199,"DGRP-639",6,1,30
"coco",22,141,28217,"DGRP-646",10,6,30
"coco",17,142,28218,"DGRP-703",22,10,30
"coco",17,143,25744,"DGRP-705",28,14,30
"coco",17,144,25200,"DGRP-707",25,20,30
"coco",19,145,25201,"DGRP-712",20,14,30
"coco",12,146,25745,"DGRP-714",27,15,30
"coco",11,147,28219,"DGRP-716",24,10,30
"coco",18,148,28220,"DGRP-721",8,6,30
"coco",21,149,28221,"DGRP-727",22,3,30
"coco",9,151,25203,"DGRP-732",25,15,30
"coco",17,152,28222,"DGRP-737",24,12,30
"coco",22,153,28223,"DGRP-738",13,8,30
"coco",17,154,28224,"DGRP-748",16,5,30
"coco",19,155,28226,"DGRP-757",19,16,30
"coco",20,156,28227,"DGRP-761",16,9,30
"coco",17,157,25204,"DGRP-765",16,10,30
"coco",11,158,25205,"DGRP-774",27,19,30
"coco",11,159,28229,"DGRP-776",23,8,30
"coco",12,160,28230,"DGRP-783",25,20,30
"coco",12,161,25206,"DGRP-786",27,16,30
"coco",11,162,28231,"DGRP-787",25,8,30
"coco",19,163,28232,"DGRP-790",13,9,30
"coco",17,164,28233,"DGRP-796",29,17,30
"coco",13,165,25207,"DGRP-799",28,22,30
"coco",11,166,28234,"DGRP-801",14,2,30
"coco",12,167,28235,"DGRP-802",24,20,30
"coco",15,168,28236,"DGRP-804",15,9,30
"coco",22,169,28237,"DGRP-805",25,12,30
"coco",17,170,28238,"DGRP-808",20,10,30
"coco",17,171,28239,"DGRP-810",6,1,30
"coco",15,172,28240,"DGRP-812",13,3,30
"coco",17,173,28241,"DGRP-818",25,12,30
"coco",13,174,28242,"DGRP-819",27,12,30
"coco",11,175,25208,"DGRP-820",27,7,30
"coco",8,176,28243,"DGRP-821",24,15,30
"coco",19,177,28244,"DGRP-822",16,11,30
"coco",21,178,28245,"DGRP-832",8,2,30
"coco",8,180,28247,"DGRP-843",22,7,30
"coco",18,181,28248,"DGRP-849",11,11,30
"coco",19,182,28249,"DGRP-850",23,8,30
"coco",8,183,25209,"DGRP-852",18,11,30
"coco",18,184,28250,"DGRP-853",24,17,30
"coco",18,185,28251,"DGRP-855",19,6,30
"coco",19,186,28252,"DGRP-857",15,5,30
"coco",8,187,25210,"DGRP-859",26,24,30
"coco",18,188,28253,"DGRP-861",21,16,30
"coco",19,189,28254,"DGRP-879",21,10,30
"coco",18,190,28255,"DGRP-882",24,15,30
"coco",19,192,28279,"DGRP-887",3,1,30
"coco",8,193,28257,"DGRP-890",21,16,30
"coco",8,194,28258,"DGRP-892",25,17,30
"coco",8,196,28260,"DGRP-897",10,6,30
"coco",8,197,28261,"DGRP-900",25,11,30
"coco",8,198,28262,"DGRP-907",25,15,30
"coco",8,199,28263,"DGRP-908",27,13,30
"coco",18,200,28264,"DGRP-911",22,13,30
"coco",18,201,28265,"DGRP-913",24,13,30
"lard",2,1,28122,"DGRP-21",28,25,30
"lard",2,2,28123,"DGRP-26",29,27,30
"lard",21,3,28124,"DGRP-28",28,23,30
"lard",2,4,55014,"DGRP-31",23,21,30
"lard",2,5,55015,"DGRP-32",26,24,30
"lard",2,6,28125,"DGRP-38",19,18,30
"lard",2,7,29651,"DGRP-40",27,26,30
"lard",2,8,28126,"DGRP-41",28,26,30
"lard",21,9,28127,"DGRP-42",6,4,30
"lard",9,10,28128,"DGRP-45",27,26,30
"lard",1,11,55016,"DGRP-48",16,12,30
"lard",1,12,29652,"DGRP-57",29,22,30
"lard",2,13,28129,"DGRP-59",29,28,30
"lard",19,14,28130,"DGRP-69",17,15,30
"lard",9,15,28131,"DGRP-73",29,27,30
"lard",20,16,28132,"DGRP-75",29,21,30
"lard",1,17,28134,"DGRP-83",28,20,30
"lard",9,18,28274,"DGRP-85",20,19,30
"lard",14,19,28135,"DGRP-88",24,18,30
"lard",1,20,28136,"DGRP-91",24,23,30
"lard",5,21,28137,"DGRP-93",23,23,30
"lard",1,22,55017,"DGRP-100",18,16,30
"lard",1,23,28138,"DGRP-101",16,16,30
"lard",9,24,28139,"DGRP-105",29,29,30
"lard",2,25,28140,"DGRP-109",18,17,30
"lard",1,26,28141,"DGRP-129",27,24,30
"lard",1,27,28142,"DGRP-136",18,18,30
"lard",10,28,28143,"DGRP-138",30,28,30
"lard",1,29,28144,"DGRP-142",24,17,30
"lard",3,30,28145,"DGRP-149",26,20,30
"lard",3,31,28146,"DGRP-153",29,22,30
"lard",20,32,28147,"DGRP-158",30,29,30
"lard",9,33,28148,"DGRP-161",29,29,30
"lard",3,34,28149,"DGRP-176",30,26,30
"lard",14,35,28150,"DGRP-177",25,21,30
"lard",3,36,28151,"DGRP-181",29,26,30
"lard",3,37,28152,"DGRP-189",28,26,30
"lard",3,38,28153,"DGRP-195",30,30,30
"lard",3,39,25174,"DGRP-208",30,28,30
"lard",3,40,28154,"DGRP-217",29,26,30
"lard",10,41,28155,"DGRP-223",26,22,30
"lard",20,42,28156,"DGRP-227",24,16,30
"lard",20,43,28157,"DGRP-228",24,24,30
"lard",5,44,29653,"DGRP-229",29,27,30
"lard",10,45,28275,"DGRP-235",30,30,30
"lard",5,46,28160,"DGRP-237",18,17,30
"lard",2,47,28161,"DGRP-239",27,27,30
"lard",14,48,28162,"DGRP-256",28,26,30
"lard",11,49,28164,"DGRP-280",29,28,30
"lard",20,50,28165,"DGRP-287",21,21,30
"lard",10,51,25175,"DGRP-301",20,19,30
"lard",10,52,25176,"DGRP-303",29,26,30
"lard",16,53,25177,"DGRP-304",29,27,30
"lard",5,54,37525,"DGRP-306",30,30,30
"lard",5,55,25179,"DGRP-307",26,24,30
"lard",5,56,28166,"DGRP-309",25,25,30
"lard",21,57,28276,"DGRP-310",30,19,30
"lard",5,58,25180,"DGRP-313",9,2,30
"lard",4,60,28167,"DGRP-317",22,15,30
"lard",4,61,28168,"DGRP-318",30,28,30
"lard",4,62,55018,"DGRP-319",27,27,30
"lard",4,63,29654,"DGRP-320",27,25,30
"lard",4,64,29655,"DGRP-321",20,19,30
"lard",4,65,25182,"DGRP-324",28,28,30
"lard",11,66,28171,"DGRP-332",30,27,30
"lard",22,67,25183,"DGRP-335",28,28,30
"lard",4,68,28172,"DGRP-336",16,12,30
"lard",4,69,28173,"DGRP-338",30,13,30
"lard",4,70,28174,"DGRP-340",28,28,30
"lard",10,71,55019,"DGRP-348",16,12,30
"lard",10,72,28176,"DGRP-350",28,28,30
"lard",10,73,28177,"DGRP-352",29,29,30
"lard",10,74,55020,"DGRP-354",30,29,30
"lard",13,75,55038,"DGRP-355",28,27,30
"lard",20,76,28178,"DGRP-356",27,23,30
"lard",14,77,25184,"DGRP-357",29,28,30
"lard",12,78,25185,"DGRP-358",25,18,30
"lard",13,79,28179,"DGRP-359",26,22,30
"lard",12,80,25186,"DGRP-360",27,27,30
"lard",13,81,28180,"DGRP-361",28,26,30
"lard",9,82,25187,"DGRP-362",28,27,30
"lard",7,83,25445,"DGRP-365",29,26,30
"lard",19,84,28181,"DGRP-367",29,22,30
"lard",11,85,28182,"DGRP-370",26,26,30
"lard",16,86,28183,"DGRP-371",23,22,30
"lard",13,87,28184,"DGRP-373",25,21,30
"lard",12,88,28185,"DGRP-374",28,27,30
"lard",7,89,25188,"DGRP-375",25,21,30
"lard",11,90,28186,"DGRP-377",23,21,30
"lard",9,91,25189,"DGRP-379",15,14,30
"lard",14,92,25190,"DGRP-380",28,28,30
"lard",14,93,28188,"DGRP-381",22,14,30
"lard",7,94,28189,"DGRP-382",29,29,30
"lard",20,95,28190,"DGRP-383",22,21,30
"lard",14,96,28191,"DGRP-385",30,27,30
"lard",14,97,28192,"DGRP-386",29,29,30
"lard",7,98,55021,"DGRP-390",26,22,30
"lard",15,99,25191,"DGRP-391",28,28,30
"lard",14,100,28194,"DGRP-392",29,27,30
"lard",7,101,55022,"DGRP-395",29,29,30
"lard",9,102,55023,"DGRP-397",27,27,30
"lard",7,103,25192,"DGRP-399",30,24,30
"lard",14,104,29656,"DGRP-405",27,27,30
"lard",15,105,29657,"DGRP-406",30,28,30
"lard",16,106,28278,"DGRP-409",28,26,30
"lard",6,107,28196,"DGRP-426",13,12,30
"lard",6,108,25193,"DGRP-427",30,27,30
"lard",6,109,25194,"DGRP-437",27,27,30
"lard",16,110,29658,"DGRP-439",26,24,30
"lard",16,111,28197,"DGRP-440",27,23,30
"lard",6,112,28198,"DGRP-441",21,21,30
"lard",15,113,28199,"DGRP-443",23,23,30
"lard",16,114,28200,"DGRP-461",30,26,30
"lard",21,115,25195,"DGRP-486",25,25,30
"lard",6,116,28202,"DGRP-491",27,24,30
"lard",9,117,28203,"DGRP-492",28,28,30
"lard",15,118,28204,"DGRP-502",29,28,30
"lard",20,119,55024,"DGRP-505",23,22,30
"lard",16,120,28205,"DGRP-508",28,28,30
"lard",6,121,28206,"DGRP-509",13,12,30
"lard",6,122,29659,"DGRP-513",29,23,30
"lard",6,123,25197,"DGRP-517",28,27,30
"lard",12,124,55025,"DGRP-528",20,15,30
"lard",6,125,29660,"DGRP-530",25,25,30
"lard",21,126,28207,"DGRP-531",29,28,30
"lard",6,127,28208,"DGRP-535",29,27,30
"lard",7,128,55026,"DGRP-551",29,28,30
"lard",7,129,25198,"DGRP-555",27,26,30
"lard",12,130,55027,"DGRP-559",27,20,30
"lard",7,131,28211,"DGRP-563",20,20,30
"lard",20,132,55028,"DGRP-566",28,26,30
"lard",15,133,28212,"DGRP-584",30,28,30
"lard",15,134,28213,"DGRP-589",30,28,30
"lard",16,135,28215,"DGRP-595",29,29,30
"lard",17,136,55029,"DGRP-596",20,15,30
"lard",7,137,55030,"DGRP-627",30,28,30
"lard",15,138,55031,"DGRP-630",29,27,30
"lard",15,139,55032,"DGRP-634",29,28,30
"lard",21,140,25199,"DGRP-639",15,10,30
"lard",22,141,28217,"DGRP-646",14,14,30
"lard",17,142,28218,"DGRP-703",30,27,30
"lard",17,143,25744,"DGRP-705",27,25,30
"lard",17,144,25200,"DGRP-707",26,25,30
"lard",19,145,25201,"DGRP-712",29,27,30
"lard",12,146,25745,"DGRP-714",29,27,30
"lard",11,147,28219,"DGRP-716",28,27,30
"lard",18,148,28220,"DGRP-721",27,26,30
"lard",21,149,28221,"DGRP-727",30,22,30
"lard",9,151,25203,"DGRP-732",28,28,30
"lard",17,152,28222,"DGRP-737",30,29,30
"lard",22,153,28223,"DGRP-738",17,16,30
"lard",17,154,28224,"DGRP-748",30,28,30
"lard",19,155,28226,"DGRP-757",28,26,30
"lard",20,156,28227,"DGRP-761",25,21,30
"lard",17,157,25204,"DGRP-765",28,28,30
"lard",11,158,25205,"DGRP-774",30,28,30
"lard",11,159,28229,"DGRP-776",29,29,30
"lard",12,160,28230,"DGRP-783",27,26,30
"lard",12,161,25206,"DGRP-786",30,25,30
"lard",11,162,28231,"DGRP-787",30,30,30
"lard",19,163,28232,"DGRP-790",24,19,30
"lard",17,164,28233,"DGRP-796",30,30,30
"lard",13,165,25207,"DGRP-799",25,24,30
"lard",11,166,28234,"DGRP-801",27,27,30
"lard",12,167,28235,"DGRP-802",27,27,30
"lard",15,168,28236,"DGRP-804",18,13,30
"lard",22,169,28237,"DGRP-805",24,23,30
"lard",17,170,28238,"DGRP-808",29,28,30
"lard",17,171,28239,"DGRP-810",28,25,30
"lard",15,172,28240,"DGRP-812",30,22,30
"lard",17,173,28241,"DGRP-818",29,28,30
"lard",13,174,28242,"DGRP-819",30,27,30
"lard",11,175,25208,"DGRP-820",29,26,30
"lard",8,176,28243,"DGRP-821",28,25,30
"lard",19,177,28244,"DGRP-822",21,21,30
"lard",21,178,28245,"DGRP-832",17,12,30
"lard",8,180,28247,"DGRP-843",19,18,30
"lard",18,181,28248,"DGRP-849",25,24,30
"lard",19,182,28249,"DGRP-850",27,22,30
"lard",8,183,25209,"DGRP-852",27,23,30
"lard",18,184,28250,"DGRP-853",29,28,30
"lard",18,185,28251,"DGRP-855",29,29,30
"lard",19,186,28252,"DGRP-857",21,13,30
"lard",8,187,25210,"DGRP-859",28,27,30
"lard",18,188,28253,"DGRP-861",29,29,30
"lard",19,189,28254,"DGRP-879",29,26,30
"lard",18,190,28255,"DGRP-882",26,22,30
"lard",19,192,28279,"DGRP-887",9,9,30
"lard",8,193,28257,"DGRP-890",27,27,30
"lard",8,194,28258,"DGRP-892",26,26,30
"lard",8,196,28260,"DGRP-897",20,20,30
"lard",8,197,28261,"DGRP-900",30,27,30
"lard",8,198,28262,"DGRP-907",29,29,30
"lard",8,199,28263,"DGRP-908",30,29,30
"lard",18,200,28264,"DGRP-911",28,22,30
"lard",18,201,28265,"DGRP-913",23,22,30
"WD",2,1,28122,"DGRP-21",30,30,30
"WD",2,2,28123,"DGRP-26",25,25,30
"WD",21,3,28124,"DGRP-28",21,21,30
"WD",2,4,55014,"DGRP-31",25,25,30
"WD",2,5,55015,"DGRP-32",25,20,30
"WD",2,6,28125,"DGRP-38",21,20,30
"WD",2,7,29651,"DGRP-40",27,27,30
"WD",2,8,28126,"DGRP-41",29,29,30
"WD",21,9,28127,"DGRP-42",13,9,30
"WD",9,10,28128,"DGRP-45",29,29,30
"WD",1,11,55016,"DGRP-48",16,14,30
"WD",1,12,29652,"DGRP-57",25,24,30
"WD",2,13,28129,"DGRP-59",29,29,30
"WD",19,14,28130,"DGRP-69",21,17,30
"WD",9,15,28131,"DGRP-73",29,28,30
"WD",20,16,28132,"DGRP-75",29,28,30
"WD",1,17,28134,"DGRP-83",30,28,30
"WD",9,18,28274,"DGRP-85",17,11,30
"WD",14,19,28135,"DGRP-88",22,21,30
"WD",1,20,28136,"DGRP-91",24,23,30
"WD",5,21,28137,"DGRP-93",23,23,30
"WD",1,22,55017,"DGRP-100",19,17,30
"WD",1,23,28138,"DGRP-101",18,18,30
"WD",9,24,28139,"DGRP-105",26,26,30
